user_id,task_id,turn_id,ground_truth,expected_tool_call,agent_name,agent_role,agent_task,system_prompt,agent_response,trace,tools_available,tool_calls,parameters_passed,tool_call_results,retrieval_query,retrieved_context,exit_status,agent_exit,metadata
,eda4fe22-9a2b-4b73-856b-f4f3309bf719,b6b7c1c0-3b7b-4e19-805d-a16beb7ea871,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,0ffffba1-8a37-443c-8866-d53ffbfa7718,3045d971-b7ff-46cc-be11-6db7d65dfefd,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f1f37bd7-0851-4659-b493-b80d3800d920,42d4cb1f-17ec-433a-8087-90292c2fa9d9,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,43cdf081-4f01-49cd-b566-dbd1619e6cd2,e22b809d-5320-40b7-b78a-e3e125538a6b,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,9a1983f4-09da-4b53-80e6-38de6878e0e7,813a4450-1cf8-4d43-8493-eabfa200919b,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5d2517e1-220a-429d-9d59-f701bda25eed,6102352a-833e-493d-adbb-887e2af17918,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,52aacb67-c361-4445-9b72-c157f79f47d6,2926418a-fe09-4df0-bf19-a527bc24a478,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,a81ca3a8-80aa-4c39-876e-8d40ea7a0aef,afe85a1d-13c8-4476-8154-52d58ba83d52,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,230aad27-f3dd-4968-a45a-3c2f07ac28ed,db8da393-6d72-421e-87dc-96f56b6576e5,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,83c7dcce-3d89-4da1-8b3f-d419885d4cbc,a290202d-1b3f-431f-8728-fcb937380f8c,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,2218f641-604c-491a-9710-b51a9941b982,5fbaef83-95fc-4bed-9695-9d69c37c35e4,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,255fd49c-84b4-4b18-887e-6308a412d535,b3ac3924-928b-4d48-a2a7-aa749802fef9,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,dc511122-c0b6-415c-9a49-c7b45132dd87,b8055ffc-ee7d-46ad-b6a0-84e80f9399e2,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,04bebf38-a343-4563-80db-0154bef8d927,532b9e1f-5c4f-4b41-98bb-e9a1510f0f1c,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,5e043630-6493-42b5-beb8-79faa19bfa37,14064e3f-f9c9-4bb7-b8cb-1ad52938b075,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,7da9814d-a2e8-4c4e-b750-68b26bd5fd22,a74fe8a9-2654-4b9d-ba87-dc2f86b6466d,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,16143f74-2831-4753-b33d-ce4b645093c5,c700d0f4-f1f8-4339-aa42-a3060ae2ae11,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,fc64e6cc-6739-4256-ac4a-7b80c3028233,f7f5981f-d840-4265-8970-d319b876366d,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,b7945c49-f584-4c70-972d-536a805d8a31,0c7bbe2b-18af-4fdb-a5bf-4a91daa3bf50,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
,f5c40ecf-36c0-45ba-9cc9-dc0329b0324b,dc869742-6797-4016-8061-37530fc7d433,,,unknown,unknown,,You are a helpful customer support agent,,,[],[],{},[],,,ok,False,
